"Phylum","Class","Organism_name","Organism","Number_of_rpoN_genes","Total_organisms_per_class","Class_count_organims_with_rpoN"
"Bacillota","Clostridia","Anaerotignum propionicum DSM 1682 (Clostridium propionicum DSM 1682)","cpro",1,107,107
"Bacillota","Clostridia","Acetivibrio clariflavus DSM 19732","ccl",0,107,107
"Bacillota","Clostridia","Clostridium acetobutylicum ATCC 824","cac",1,107,107
"Bacillota","Clostridia","Desulfofundulus kuznetsovii DSM 6115","dku",1,107,107
"Bacillota","Clostridia","Alkalibacter rhizosphaerae ES005","alka",1,107,107
"Bacillota","Clostridia","Paraclostridium sordellii AM370","psor",0,107,107
"Bacillota","Clostridia","Mageeibacillus indolicus UPII9-5","clo",0,107,107
"Bacillota","Clostridia","Caproiciproducens sp. NJN-50","capr",1,107,107
"Bacillota","Clostridia","Halocella sp. SP3-1","hals",1,107,107
"Bacillota","Clostridia","Heliorestis convoluta HH","hcv",0,107,107
"Bacillota","Clostridia","Cellulosilyticum lentocellum DSM 5427","cle",0,107,107
"Bacillota","Clostridia","Syntrophomonas wolfei subsp. wolfei Goettingen G311","swo",1,107,107
"Bacillota","Clostridia","Candidatus Sarcina troglodytae JB2 (Sarcina sp. JB2)","sarj",1,107,107
"Bacillota","Clostridia","Acetoanaerobium sticklandii DSM 519","cst",2,107,107
"Bacillota","Clostridia","Mahella australiensis 50-1 BON","mas",1,107,107
"Bacillota","Clostridia","Ruminococcus albus 7","ral",0,107,107
"Bacillota","Clostridia","Candidatus Formimonas warabiya DCMF","fwa",1,107,107
"Bacillota","Clostridia","Symbiobacterium thermophilum IAM 14863","sth",0,107,107
"Bacillota","Clostridia","Carboxydothermus hydrogenoformans Z-2901","chy",1,107,107
"Bacillota","Clostridia","Ammonifex degensii KC4","adg",1,107,107
"Bacillota","Clostridia","Mediterraneibacter gnavus ATCC 29149","rgn",1,107,107
"Bacillota","Clostridia","Candidatus Syntrophocurvum alkaliphilum B(2M)","salq",1,107,107
"Bacillota","Clostridia","Halothermothrix orenii H 168","hor",1,107,107
"Bacillota","Clostridia","Desulfosporosinus orientis DSM 765","dor",1,107,107
"Bacillota","Clostridia","Ruminiclostridium cellulolyticum H10","cce",0,107,107
"Bacillota","Clostridia","Pelotomaculum thermopropionicum SI","pth",1,107,107
"Bacillota","Clostridia","Christensenella minuta DSM 22607","cmiu",1,107,107
"Bacillota","Clostridia","Lachnoclostridium sp. YL32","lacy",1,107,107
"Bacillota","Clostridia","Desulfofarcimen acetoxidans DSM 771","dae",1,107,107
"Bacillota","Clostridia","Crassaminicella profunda Ra1766H","cprf",1,107,107
"Bacillota","Clostridia","Natranaerobius thermophilus JW/NM-WN-LF","nth",1,107,107
"Bacillota","Clostridia","Natranaerofaba carboxydovora ANCO1","ncd",1,107,107
"Bacillota","Clostridia","Pseudobutyrivibrio xylanivorans MA3014","pxv",0,107,107
"Bacillota","Clostridia","Alkalicella caledoniensis LB2","acae",1,107,107
"Bacillota","Clostridia","Lawsonibacter asaccharolyticus OA10","lasa",1,107,107
"Bacillota","Clostridia","Romboutsia sp. CE17","roc",1,107,107
"Bacillota","Clostridia","Faecalibacterium duncaniae A2165 (Faecalibacterium prausnitzii A2-165)","fpra",0,107,107
"Bacillota","Clostridia","Aminipila butyrica DSM 103574","abut",1,107,107
"Bacillota","Clostridia","Vescimonas coprocola MM50","vcop",1,107,107
"Bacillota","Clostridia","Desulforamulus ruminis DSM 2154","dru",1,107,107
"Bacillota","Clostridia","Peptacetobacter hiranonis DSM 13275","phx",2,107,107
"Bacillota","Clostridia","Caloramator sp. E03","cale",1,107,107
"Bacillota","Clostridia","Fastidiosipila sanguinis CCUG 47711","fsa",0,107,107
"Bacillota","Clostridia","Blautia producta PMF1","bpro",0,107,107
"Bacillota","Clostridia","Coprococcus comes FDAARGOS_1339","ccom",0,107,107
"Bacillota","Clostridia","Filifactor alocis ATCC 35896","faa",0,107,107
"Bacillota","Clostridia","Thermoclostridium stercorarium subsp. stercorarium DSM 8532 (Clostridium stercorarium subsp. stercorarium DSM 8532)","css",0,107,107
"Bacillota","Clostridia","Dysosmobacter welbionis J115","obj",1,107,107
"Bacillota","Clostridia","Caproicibacterium amylolyticum LBM18003","caml",0,107,107
"Bacillota","Clostridia","Mogibacterium diversum CCUG 47132","mdv",0,107,107
"Bacillota","Clostridia","Ethanoligenens harbinense YUAN-3","eha",0,107,107
"Bacillota","Clostridia","Acetobacterium woodii DSM 1030","awo",1,107,107
"Bacillota","Clostridia","Thermanaerosceptrum fracticalcis DRI-13","tfr",1,107,107
"Bacillota","Clostridia","Thermosediminibacter oceani DSM 16646","toc",1,107,107
"Bacillota","Clostridia","Tepidanaerobacter acetatoxydans Re1","tep",1,107,107
"Bacillota","Clostridia","Candidatus Arthromitus sp. SFB-mouse-Japan","asf",0,107,107
"Bacillota","Clostridia","Lachnoanaerobaculum umeaense DSM 23576 = CCUG 58757","lua",1,107,107
"Bacillota","Clostridia","Heliomicrobium modesticaldum Ice1 (Heliobacterium modesticaldum Ice1)","hmo",1,107,107
"Bacillota","Clostridia","Thermoanaerobacterium saccharolyticum JW/SL-YS485","tsh",1,107,107
"Bacillota","Clostridia","Alkaliphilus metalliredigens QYMF","amt",1,107,107
"Bacillota","Clostridia","Candidatus Desulforudis audaxviator MP104C","dau",0,107,107
"Bacillota","Clostridia","Clostridium saccharolyticum WM1","csh",1,107,107
"Bacillota","Clostridia","Dehalobacter sp. DCA","ded",1,107,107
"Bacillota","Clostridia","Syntrophothermus lipocalidus DSM 12680","slp",1,107,107
"Bacillota","Clostridia","Syntrophobotulus glycolicus DSM 8271","sgy",0,107,107
"Bacillota","Clostridia","Thermacetogenium phaeum DSM 12270","tpz",1,107,107
"Bacillota","Clostridia","Vallitalea pronyensis FatNI3c","vpy",1,107,107
"Bacillota","Clostridia","Halanaerobium hydrogeniformans sapolanicus","has",1,107,107
"Bacillota","Clostridia","Desulfotomaculum nigrificans CO-1-SRB (Desulfotomaculum carboxydivorans CO-1-SRB)","dca",1,107,107
"Bacillota","Clostridia","Acetohalobium arabaticum DSM 5501","aar",1,107,107
"Bacillota","Clostridia","Flavonifractor plautii YL31","fpla",1,107,107
"Bacillota","Clostridia","Roseburia hominis A2-183","rho",0,107,107
"Bacillota","Clostridia","Intestinimonas butyriciproducens AF211","ibu",1,107,107
"Bacillota","Clostridia","Eubacterium eligens ATCC 27750","eel",0,107,107
"Bacillota","Clostridia","Moorella thermoacetica DSM 2955","mthz",1,107,107
"Bacillota","Clostridia","Oscillibacter valericigenes Sjm18-20","ova",1,107,107
"Bacillota","Clostridia","Thermaerobacter marianensis DSM 12885","tmr",0,107,107
"Bacillota","Clostridia","Caproicibacter fermentans 7D4C2","cfem",1,107,107
"Bacillota","Clostridia","Thermoanaerobacter wiegelii Rt8.B1","twi",1,107,107
"Bacillota","Clostridia","Pusillibacter faecalis MM59","pfaa",1,107,107
"Bacillota","Clostridia","Halobacteroides halobius DSM 5150","hhl",1,107,107
"Bacillota","Clostridia","Koleobacter methoxysyntrophicus NRmbB1","kme",1,107,107
"Bacillota","Clostridia","Anaerocolumna sedimenticola CBA3638","anr",0,107,107
"Bacillota","Clostridia","Anaerostipes caccae DSM 14662","acac",2,107,107
"Bacillota","Clostridia","Hathewaya histolytica NCTC503","hhw",0,107,107
"Bacillota","Clostridia","Iocasia fonsfrigidae NS-1","ifn",1,107,107
"Bacillota","Clostridia","Desulfitobacterium hafniense Y51","dsy",1,107,107
"Bacillota","Clostridia","Herbinix luporum (Herbinix sp. SD1D)","hsd",0,107,107
"Bacillota","Clostridia","Eubacterium limosum ATCC 8486","elim",1,107,107
"Bacillota","Clostridia","Geosporobacter ferrireducens IRF9","gfe",1,107,107
"Bacillota","Clostridia","Sulfobacillus acidophilus TPY","say",1,107,107
"Bacillota","Clostridia","Anaerobutyricum hallii EH1","ehl",0,107,107
"Bacillota","Clostridia","Acididesulfobacillus acetoxydans INE","aacx",1,107,107
"Bacillota","Clostridia","Solibaculum mannosilyticum 12CBH8","sman",0,107,107
"Bacillota","Clostridia","Thermincola potens JR","tjr",1,107,107
"Bacillota","Clostridia","Clostridioides difficile CD196 (Clostridium difficile CD196) (PCR-ribotype 027)","cdc",1,107,107
"Bacillota","Clostridia","Peptoclostridium acidaminophilum DSM 3953 (Eubacterium acidaminophilum DSM 3953)","eac",1,107,107
"Bacillota","Clostridia","Gelria sp. Kuro-4","gek",1,107,107
"Bacillota","Clostridia","Anoxybacter fermentans DY22613","aft",1,107,107
"Bacillota","Clostridia","Desulfoscipio gibsoniae DSM 7213","dgi",1,107,107
"Bacillota","Clostridia","Petrocella atlantisensis 70B-A","cbar",1,107,107
"Bacillota","Clostridia","Paraclostridium bifermentans DSM 14991","pbif",1,107,107
"Bacillota","Clostridia","Butyrivibrio proteoclasticus B316","bpb",0,107,107
"Bacillota","Clostridia","Caldanaerobacter subterraneus subsp. tengcongensis MB4(T) (Thermoanaerobacter tengcongensis MB4(T))","tte",1,107,107
"Bacillota","Clostridia","Carboxydocella thermautotrophica 019","cthm",1,107,107
"Bacillota","Clostridia","Enterocloster bolteae ATCC BAA-613","cbol",1,107,107
"Bacillota","Bacilli","Novibacillus thermophilus SG-1","ntr",1,122,122
"Bacillota","Bacilli","Ligilactobacillus acidipiscis ACA-DC 1533 (Lactobacillus acidipiscis ACA-DC 1533)","laca",1,122,122
"Bacillota","Bacilli","Kurthia zopfii NCTC404","kzo",0,122,122
"Bacillota","Bacilli","Viridibacillus sp. JNUCC-6","vij",2,122,122
"Bacillota","Bacilli","Lentibacillus amyloliquefaciens LAM0015","lao",1,122,122
"Bacillota","Bacilli","Tetragenococcus halophilus NBRC 12172","thl",1,122,122
"Bacillota","Bacilli","Granulicatella adiacens FDAARGOS_1477","gad",0,122,122
"Bacillota","Bacilli","Acetilactobacillus jinshanensis HSLZ-75 (Lactobacillus jinshani HSLZ-75)","lji",0,122,122
"Bacillota","Bacilli","Pediococcus damnosus TMW 2.1535","pdm",1,122,122
"Bacillota","Bacilli","Terribacillus goriensis MP602 (Terribacillus aidingensis MP602)","tap",0,122,122
"Bacillota","Bacilli","Fictibacillus phosphorivorans G25-29","fpn",1,122,122
"Bacillota","Bacilli","Thermoactinomyces vulgaris CDF","tvu",1,122,122
"Bacillota","Bacilli","Niallia circulans PK3_109 (Bacillus circulans PK3_109)","bcir",1,122,122
"Bacillota","Bacilli","Mammaliicoccus sciuri FDAARGOS_285","sscu",0,122,122
"Bacillota","Bacilli","Carnobacterium maltaromaticum LMA28","cml",1,122,122
"Bacillota","Bacilli","Bacillus subtilis subsp. subtilis 168","bsu",1,122,122
"Bacillota","Bacilli","Aneurinibacillus sp. XH2","anx",1,122,122
"Bacillota","Bacilli","Limosilactobacillus oris J-1 (Lactobacillus oris J-1)","lor",0,122,122
"Bacillota","Bacilli","Salicibibacter cibarius NKC5-3","scia",1,122,122
"Bacillota","Bacilli","Pontibacillus sp. HMF3514","pof",1,122,122
"Bacillota","Bacilli","Bacillus pumilus SAFR-032","bpu",1,122,122
"Bacillota","Bacilli","Gracilibacillus salitolerans SCU50","grc",0,122,122
"Bacillota","Bacilli","Lactococcus lactis subsp. cremoris A76","llr",0,122,122
"Bacillota","Bacilli","Tumebacillus avium AR23208","tum",1,122,122
"Bacillota","Bacilli","Weissella cibaria CH2","wcb",0,122,122
"Bacillota","Bacilli","Planococcus sp. Y42","pmar",0,122,122
"Bacillota","Bacilli","Oceanobacillus iheyensis HTE831","oih",1,122,122
"Bacillota","Bacilli","Jeotgalibaca ciconiae H21T32","jeh",1,122,122
"Bacillota","Bacilli","Lysinibacillus sp. B2A1","lyb",2,122,122
"Bacillota","Bacilli","Bacillus thuringiensis serovar kurstaki HD73","btt",1,122,122
"Bacillota","Bacilli","Lederbergia lenta NCTC4824","blen",0,122,122
"Bacillota","Bacilli","Mangrovibacillus cuniculi R1DC41","mcui",0,122,122
"Bacillota","Bacilli","Lentilactobacillus hilgardii LMG 07934","lhil",0,122,122
"Bacillota","Bacilli","Brevibacillus choshinensis HPD31-SP3","bchs",1,122,122
"Bacillota","Bacilli","Neobacillus mesonae H20-5","nmk",1,122,122
"Bacillota","Bacilli","Pradoshia sp. D12","prd",1,122,122
"Bacillota","Bacilli","Abiotrophia defectiva FDAARGOS_785","adc",1,122,122
"Bacillota","Bacilli","Apilactobacillus kunkeei MP2 (Lactobacillus kunkeei MP2)","lku",0,122,122
"Bacillota","Bacilli","Thermobacillus composti KWC4","tco",0,122,122
"Bacillota","Bacilli","Cohnella abietis HS21","cohn",0,122,122
"Bacillota","Bacilli","Priestia aryabhattai GW320","parh",1,122,122
"Bacillota","Bacilli","Nosocomiicoccus ampullae DSM 19163","namp",0,122,122
"Bacillota","Bacilli","Vagococcus carniphilus ATCC BAA-640","vcp",1,122,122
"Bacillota","Bacilli","Streptococcus gallolyticus subsp. gallolyticus ATCC BAA-2069","sgg",0,122,122
"Bacillota","Bacilli","Leuconostoc kimchii IMSNU 11154","lki",0,122,122
"Bacillota","Bacilli","Heyndrickxia oleronia DSM 9356 (Bacillus oleronius DSM 9356)","bou",1,122,122
"Bacillota","Bacilli","Marinilactibacillus sp. 15R","marr",1,122,122
"Bacillota","Bacilli","Bacillus velezensis FZB42","bay",1,122,122
"Bacillota","Bacilli","Oenococcus sp. UCMA 16435","oen",0,122,122
"Bacillota","Bacilli","Paenibacillus sp. JDR-2","pjd",0,122,122
"Bacillota","Bacilli","Rossellomorea vietnamensis 151-6 (Bacillus vietnamensis 151-6)","bvq",2,122,122
"Bacillota","Bacilli","Caldibacillus thermoamylovorans SSBM (Bacillus thermoamylovorans SSBM)","bthv",1,122,122
"Bacillota","Bacilli","Salimicrobium jeotgali MJ3","sje",1,122,122
"Bacillota","Bacilli","Sporosarcina psychrophila DSM 6497","spsy",1,122,122
"Bacillota","Bacilli","Radiobacillus deserti TKL69","aqt",1,122,122
"Bacillota","Bacilli","Anaerobacillus isosaccharinicus NB2006","aia",1,122,122
"Bacillota","Bacilli","Macrococcoides canis KM 45013 (Macrococcus canis KM45013)","mcak",0,122,122
"Bacillota","Bacilli","Virgibacillus necropolis LMG 19488","vne",1,122,122
"Bacillota","Bacilli","Bombilactobacillus bombi BI-2.5 (Lactobacillus bombi BI-2.5)","lbm",1,122,122
"Bacillota","Bacilli","Amphibacillus xylanus NBRC 15112","axl",0,122,122
"Bacillota","Bacilli","Sporolactobacillus terrae DRG1","stea",1,122,122
"Bacillota","Bacilli","Brochothrix thermosphacta BI","bths",1,122,122
"Bacillota","Bacilli","Shouchella clausii KSM-K16 (Alkalihalobacillus clausii KSM-K16 (Bacillus clausii KSM-K16))","bcl",1,122,122
"Bacillota","Bacilli","Solibacillus silvestris DSM 12223","ssil",1,122,122
"Bacillota","Bacilli","Aeribacillus pallidus KCTC3564","apak",1,122,122
"Bacillota","Bacilli","Dolosigranulum pigrum 83VPs-KB5","dpm",2,122,122
"Bacillota","Bacilli","Paenisporosarcina antarctica CGMCC 1.6503","panc",3,122,122
"Bacillota","Bacilli","Exiguobacterium sp. U13-1","exu",1,122,122
"Bacillota","Bacilli","Fructilactobacillus sanfranciscensis TMW 1.1304 (Lactobacillus sanfranciscensis TMW 1.1304)","lsn",0,122,122
"Bacillota","Bacilli","Kyrpidia tusciae DSM 2912","bts",1,122,122
"Bacillota","Bacilli","Lacticaseibacillus paracasei LOCK919 (Lactobacillus casei LOCK919)","lcl",0,122,122
"Bacillota","Bacilli","Alkalihalophilus pseudofirmus OF4 (Bacillus pseudofirmus OF4)","bpf",1,122,122
"Bacillota","Bacilli","Gemella haemolysans NCTC10459","gha",0,122,122
"Bacillota","Bacilli","Heyndrickxia coagulans 36D1 (Bacillus coagulans 36D1)","bag",1,122,122
"Bacillota","Bacilli","Saccharibacillus brassicae ATSA2","saca",0,122,122
"Bacillota","Bacilli","Kroppenstedtia eburnea DSM 45196","keb",1,122,122
"Bacillota","Bacilli","Effusibacillus dendaii skT53","eff",1,122,122
"Bacillota","Bacilli","Listeria monocytogenes 08-5578 (serotype 1/2a)","lmn",1,122,122
"Bacillota","Bacilli","Lapidilactobacillus dextrinicus LH506","ldx",1,122,122
"Bacillota","Bacilli","Loigolactobacillus coryniformis subsp. torquens DSM 20004 = KCTC 3535 (Lactobacillus coryniformis subsp. torquens DSM 20004 = KCTC 3535)","lcy",1,122,122
"Bacillota","Bacilli","Hydrogenibacillus sp. N12","hyi",2,122,122
"Bacillota","Bacilli","Salisediminibacterium beveridgei MLTeJB","bbev",1,122,122
"Bacillota","Bacilli","Psychrobacillus glaciei PB01","psyo",1,122,122
"Bacillota","Bacilli","Periweissella cryptocerci 26KH-42","wei",0,122,122
"Bacillota","Bacilli","Aerococcus viridans CCUG4311","avs",0,122,122
"Bacillota","Bacilli","Levilactobacillus koreensis 26-25","lko",0,122,122
"Bacillota","Bacilli","Secundilactobacillus paracollinoides TMW 1.1994 (Lactobacillus paracollinoides TMW 1.1994)","lpd",0,122,122
"Bacillota","Bacilli","Peribacillus butanolivorans PHB-7a","pbut",2,122,122
"Bacillota","Bacilli","Planococcus halotolerans Y50","play",0,122,122
"Bacillota","Bacilli","Laceyella sacchari FBKL4.010","lfb",1,122,122
"Bacillota","Bacilli","Metabacillus elymi KUDC1714","meku",1,122,122
"Bacillota","Bacilli","Evansella cellulosilytica DSM 2522 (Bacillus cellulosilyticus DSM 2522)","bco",1,122,122
"Bacillota","Bacilli","Amylolactobacillus amylophilus DSM 20533 = JCM 1125","lah",0,122,122
"Bacillota","Bacilli","Caldalkalibacillus thermarum TA2.A1","cthu",1,122,122
"Bacillota","Bacilli","Latilactobacillus sakei subsp. sakei 23K (Lactobacillus sakei 23K)","lsa",0,122,122
"Bacillota","Bacilli","Jeotgalicoccus sp. ATCC 8456","jea",0,122,122
"Bacillota","Bacilli","Abyssicoccus albus S31 (Auricoccus indicus S31)","sbac",0,122,122
"Bacillota","Bacilli","Staphylococcus aureus subsp. aureus Z172, methicillin-resistant, vancomycin-intermediate resistance","sauz",0,122,122
"Bacillota","Bacilli","Companilactobacillus futsaii Y97 (Lactobacillus futsaii Y97)","lft",1,122,122
"Bacillota","Bacilli","Bacillus licheniformis DSM 13 = ATCC 14580","bld",1,122,122
"Bacillota","Bacilli","Paucilactobacillus hokkaidonensis JCM 18461 (Lactobacillus hokkaidonensis LOOC260)","lho",0,122,122
"Bacillota","Bacilli","Suicoccus acidiformans ZY16052","abae",0,122,122
"Bacillota","Bacilli","Rummeliibacillus stabekisii PP9","rst",1,122,122
"Bacillota","Bacilli","Enterococcus faecalis V583","efa",1,122,122
"Bacillota","Bacilli","Parageobacillus thermoglucosidasius C56-YS93","gth",1,122,122
"Bacillota","Bacilli","Melissococcus plutonius ATCC 35311","mps",2,122,122
"Bacillota","Bacilli","Lactobacillus delbrueckii subsp. bulgaricus ND02","lde",0,122,122
"Bacillota","Bacilli","Salinicoccus halodurans H3B36","shv",1,122,122
"Bacillota","Bacilli","Furfurilactobacillus rossiae L1","lros",0,122,122
"Bacillota","Bacilli","Lactiplantibacillus plantarum B21 (Lactobacillus plantarum B21)","lpb",1,122,122
"Bacillota","Bacilli","Halalkalibacterium halodurans C-125 (Bacillus halodurans C-125)","bha",1,122,122
"Bacillota","Bacilli","Alicyclobacillus mengziensis S30H14","afx",1,122,122
"Bacillota","Bacilli","Anoxybacillus flavithermus WK1","afl",1,122,122
"Bacillota","Bacilli","Cytobacillus oceanisediminis 2691 (Bacillus oceanisediminis 2691)","bon",1,122,122
"Bacillota","Bacilli","Halobacillus mangrovi KTB 131","hmn",1,122,122
"Bacillota","Bacilli","Schleiferilactobacillus harbinensis M1","lhb",1,122,122
"Bacillota","Bacilli","Jeotgalibacillus malaysiensis D5","jeo",0,122,122
"Bacillota","Bacilli","Liquorilactobacillus nagelii TMW 1.1827 (Lactobacillus nagelii TMW 1.1827)","lng",1,122,122
"Bacillota","Bacilli","Polycladomyces abyssicola JIR-001","pabs",1,122,122
"Bacillota","Bacilli","Sutcliffiella cohnii DSM 6307 (Bacillus cohnii DSM 6307)","bcoh",1,122,122
"Bacillota","Bacilli","Geobacillus kaustophilus HTA426","gka",1,122,122
"Bacillota","Bacilli","Sediminibacillus dalangtanensis DP4-553-S","sedd",1,122,122
"Pseudomonadota","Betaproteobacteria","Polynucleobacter duraquae MWH-MoK4","pdq",1,139,139
"Pseudomonadota","Betaproteobacteria","Snodgrassella alvi wkB2","salv",1,139,139
"Pseudomonadota","Betaproteobacteria","Ephemeroptericola cinctiostellae F02","hyf",0,139,139
"Pseudomonadota","Betaproteobacteria","Mycetohabitans rhizoxinica HKI 454 (Burkholderia rhizoxinica HKI 454), endosymbiont of Rhizopus microsporus","brh",2,139,139
"Pseudomonadota","Betaproteobacteria","Ferrovum myxofaciens MI1A","fmy",1,139,139
"Pseudomonadota","Betaproteobacteria","Jeongeupia sp. USM3","jeu",1,139,139
"Pseudomonadota","Betaproteobacteria","Roseateles depolymerans KCTC 42856","rdp",2,139,139
"Pseudomonadota","Betaproteobacteria","Undibacterium parvum DSM 23061","upv",1,139,139
"Pseudomonadota","Betaproteobacteria","Ferribacterium limneticum 77","fle",1,139,139
"Pseudomonadota","Betaproteobacteria","Pusillimonas sp. T7-7","put",2,139,139
"Pseudomonadota","Betaproteobacteria","Candidatus Vidania fulgoroideae OLIH, endosymbiont of Oliarus filicicola","vfg",0,139,139
"Pseudomonadota","Betaproteobacteria","Sulfurimicrobium lacus skT11","slac",1,139,139
"Pseudomonadota","Betaproteobacteria","Taylorella equigenitalis MCE9","teq",0,139,139
"Pseudomonadota","Betaproteobacteria","Cupriavidus taiwanensis LMG 19424","cti",1,139,139
"Pseudomonadota","Betaproteobacteria","Leptothrix cholodnii SP-6","lch",1,139,139
"Pseudomonadota","Betaproteobacteria","Pseudogulbenkiania sp. NH8B","pse",1,139,139
"Pseudomonadota","Betaproteobacteria","Paracidovorax avenae ATCC 19860","aaa",2,139,139
"Pseudomonadota","Betaproteobacteria","Candidatus Profftella armatura DC","ssdc",0,139,139
"Pseudomonadota","Betaproteobacteria","Paucibacter sp. KCTC 42545","pkt",1,139,139
"Pseudomonadota","Betaproteobacteria","Castellaniella defragrans 65Phen","cdn",2,139,139
"Pseudomonadota","Betaproteobacteria","Azoarcus sp. KH32C","aza",2,139,139
"Pseudomonadota","Betaproteobacteria","Cupriavidus pinatubonensis JMP134 (Ralstonia eutropha JMP134)","reu",1,139,139
"Pseudomonadota","Betaproteobacteria","Lautropia mirabilis NCTC12852","lmir",1,139,139
"Pseudomonadota","Betaproteobacteria","Oxalobacter formigenes HC-1","ofo",1,139,139
"Pseudomonadota","Betaproteobacteria","Xylophilus rhododendri KACC 21265","xyk",1,139,139
"Pseudomonadota","Betaproteobacteria","Aromatoleum petrolei ToN1","apet",1,139,139
"Pseudomonadota","Betaproteobacteria","Morococcus cerebrosus CIP 81.93","mcer",1,139,139
"Pseudomonadota","Betaproteobacteria","Paralcaligenes sp. KSB-10","park",3,139,139
"Pseudomonadota","Betaproteobacteria","Rubrivivax gelatinosus IL144","rge",2,139,139
"Pseudomonadota","Betaproteobacteria","Cupriavidus necator H16 (Ralstonia eutropha H16)","reh",1,139,139
"Pseudomonadota","Betaproteobacteria","Pandoraea oxalativorans DSM 23570","pox",1,139,139
"Pseudomonadota","Betaproteobacteria","Polaromonas sp. JS666","pol",1,139,139
"Pseudomonadota","Betaproteobacteria","Nitrogeniibacter mangrovi M9-3-2","azq",1,139,139
"Pseudomonadota","Betaproteobacteria","Oligella ureolytica FDAARGOS_872","oue",0,139,139
"Pseudomonadota","Betaproteobacteria","Hydrogenophaga sp. BPS33","hyn",2,139,139
"Pseudomonadota","Betaproteobacteria","Niveibacterium microcysteis HC41","niv",1,139,139
"Pseudomonadota","Betaproteobacteria","Ramlibacter tataouinensis TTB310","rta",2,139,139
"Pseudomonadota","Betaproteobacteria","Janthinobacterium sp. LM6","jal",1,139,139
"Pseudomonadota","Betaproteobacteria","Methyloversatilis sp. RAC08","metr",1,139,139
"Pseudomonadota","Betaproteobacteria","Caballeronia sp. SBC2","caba",2,139,139
"Pseudomonadota","Betaproteobacteria","Sulfuritalea hydrogenivorans sk43H","shd",1,139,139
"Pseudomonadota","Betaproteobacteria","Kerstersia gyiorum SWMUKG01","kgy",1,139,139
"Pseudomonadota","Betaproteobacteria","Ralstonia pickettii 12J","rpi",2,139,139
"Pseudomonadota","Betaproteobacteria","Methylibium petroleiphilum PM1","mpt",1,139,139
"Pseudomonadota","Betaproteobacteria","Simplicispira suum SC1-8","simp",1,139,139
"Pseudomonadota","Betaproteobacteria","Achromobacter xylosoxidans A8","axy",2,139,139
"Pseudomonadota","Betaproteobacteria","Candidatus Desulfobacillus denitrificans 317325-3","ddz",1,139,139
"Pseudomonadota","Betaproteobacteria","Glaciimonas sp. PAMC28666","glc",1,139,139
"Pseudomonadota","Betaproteobacteria","Usitatibacter rugosus 0125_3","uru",1,139,139
"Pseudomonadota","Betaproteobacteria","Ideonella dechloratans CCUG 30977","idc",1,139,139
"Pseudomonadota","Betaproteobacteria","Serpentinimonas raichei A1 (Serpentinomonas raichei A1)","cbaa",1,139,139
"Pseudomonadota","Betaproteobacteria","Thauera sp. K11","thk",1,139,139
"Pseudomonadota","Betaproteobacteria","Caldimonas brevitalea DSM 7029 (Polyangium brachysporum DSM 7029)","pbh",2,139,139
"Pseudomonadota","Betaproteobacteria","Pseudoduganella albidiflava DSM 17472","mali",1,139,139
"Pseudomonadota","Betaproteobacteria","Kingella kingae KWG1","kki",1,139,139
"Pseudomonadota","Betaproteobacteria","Roseateles sp. DAIF2","kia",2,139,139
"Pseudomonadota","Betaproteobacteria","Pigmentiphaga aceris Mada1488","pacr",2,139,139
"Pseudomonadota","Betaproteobacteria","Candidatus Zinderia insecticola CARI, endosymbiont of Clastoptera arizonana","zin",0,139,139
"Pseudomonadota","Betaproteobacteria","Mitsuaria sp. 7","miu",2,139,139
"Pseudomonadota","Betaproteobacteria","Mycoavidus cysteinexigens B1-EB, endosymbiont of fungi","mcys",0,139,139
"Pseudomonadota","Betaproteobacteria","Candidatus Tremblaya princeps PCVAL, endosymbiont of Planococcus citri","tpq",0,139,139
"Pseudomonadota","Betaproteobacteria","Paenalcaligenes hominis 15S00501","phn",1,139,139
"Pseudomonadota","Betaproteobacteria","Candidatus Nasuia deltocephalinicola NAS-ALF","ndl",0,139,139
"Pseudomonadota","Betaproteobacteria","Verminephrobacter eiseniae EF01-2","vei",1,139,139
"Pseudomonadota","Betaproteobacteria","Methylobacillus flagellatus KT","mfa",1,139,139
"Pseudomonadota","Betaproteobacteria","Candidatus Accumulibacter phosphatis UW-1 (Candidatus Accumulibacter regalis IIA UW-1)","app",1,139,139
"Pseudomonadota","Betaproteobacteria","Sideroxydans lithotrophicus ES-1","slt",1,139,139
"Pseudomonadota","Betaproteobacteria","Noviherbaspirillum sp. UKPF54","nok",1,139,139
"Pseudomonadota","Betaproteobacteria","Aquaspirillum sp. LM1","aql",1,139,139
"Pseudomonadota","Betaproteobacteria","Nitrosomonas sp. Is79A3","nii",1,139,139
"Pseudomonadota","Betaproteobacteria","Candidatus Vallotia cooleyia 19-005_Vallotia","vcv",0,139,139
"Pseudomonadota","Betaproteobacteria","Fluviibacter phosphoraccumulans SHINM1","fpho",1,139,139
"Pseudomonadota","Betaproteobacteria","Oryzomicrobium terrae TPP412","otr",1,139,139
"Pseudomonadota","Betaproteobacteria","Duganella dendranthematis AF9R3","dug",1,139,139
"Pseudomonadota","Betaproteobacteria","Bordetella flabilis AU10664","bfz",2,139,139
"Pseudomonadota","Betaproteobacteria","Alcaligenes faecalis ZD02","afa",2,139,139
